/* 
 hashOutputObj7.2.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 11037
*/
Script started on Tue 05 May 2020 09:41:10 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
12 words in bucket 307
2 words in bucket 308
9 words in bucket 309
4 words in bucket 310
6 words in bucket 311
5 words in bucket 312
4 words in bucket 313
7 words in bucket 314
6 words in bucket 315
6 words in bucket 316
4 words in bucket 317
1 words in bucket 318
4 words in bucket 319
5 words in bucket 320
8 words in bucket 321
7 words in bucket 322
9 words in bucket 323
5 words in bucket 324
4 words in bucket 325
8 words in bucket 326
6 words in bucket 327
5 words in bucket 328
3 words in bucket 329
7 words in bucket 330
8 words in bucket 331
3 words in bucket 332
9 words in bucket 333
1 words in bucket 334
4 words in bucket 335
7 words in bucket 336
7 words in bucket 337
7 words in bucket 338
8 words in bucket 339
10 words in bucket 340
4 words in bucket 341
5 words in bucket 342
5 words in bucket 343
3 words in bucket 344
5 words in bucket 345
4 words in bucket 346
3 words in bucket 347
4 words in bucket 348
4 words in bucket 349
4 words in bucket 350
5 words in bucket 351
6 words in bucket 352
8 words in bucket 353
6 words in bucket 354
3 words in bucket 355
6 words in bucket 356
2 words in bucket 357
12 words in bucket 358
5 words in bucket 359
2 words in bucket 360
5 words in bucket 361
11 words in bucket 362
7 words in bucket 363
7 words in bucket 364
6 words in bucket 365
7 words in bucket 366
6 words in bucket 367
4 words in bucket 368
9 words in bucket 369
9 words in bucket 370
4 words in bucket 371
4 words in bucket 372
3 words in bucket 373
2 words in bucket 374
7 words in bucket 375
2 words in bucket 376
6 words in bucket 377
7 words in bucket 378
7 words in bucket 379
6 words in bucket 380
5 words in bucket 381
3 words in bucket 382
8 words in bucket 383
4 words in bucket 384
5 words in bucket 385
7 words in bucket 386
2 words in bucket 387
6 words in bucket 388
4 words in bucket 389
7 words in bucket 390
2 words in bucket 391
8 words in bucket 392
7 words in bucket 393
3 words in bucket 394
5 words in bucket 395
3 words in bucket 396
10 words in bucket 397
4 words in bucket 398
6 words in bucket 399
11 words in bucket 400
8 words in bucket 401
6 words in bucket 402
4 words in bucket 403
4 words in bucket 404
6 words in bucket 405
4 words in bucket 406
3 words in bucket 407
3 words in bucket 408
7 words in bucket 409
5 words in bucket 410
3 words in bucket 411
3 words in bucket 412
6 words in bucket 413
3 words in bucket 414
4 words in bucket 415
2 words in bucket 416
5 words in bucket 417
1 words in bucket 418
6 words in bucket 419
2 words in bucket 420
4 words in bucket 421
4 words in bucket 422
4 words in bucket 423
0 words in bucket 424
4 words in bucket 425
3 words in bucket 426
5 words in bucket 427
7 words in bucket 428
7 words in bucket 429
3 words in bucket 430
6 words in bucket 431
5 words in bucket 432
5 words in bucket 433
7 words in bucket 434
6 words in bucket 435
8 words in bucket 436
2 words in bucket 437
3 words in bucket 438
7 words in bucket 439
5 words in bucket 440
6 words in bucket 441
7 words in bucket 442
8 words in bucket 443
2 words in bucket 444
4 words in bucket 445
8 words in bucket 446
4 words in bucket 447
12 words in bucket 448
5 words in bucket 449
4 words in bucket 450
4 words in bucket 451
6 words in bucket 452
5 words in bucket 453
7 words in bucket 454
7 words in bucket 455
3 words in bucket 456
7 words in bucket 457
9 words in bucket 458
5 words in bucket 459
5 words in bucket 460
8 words in bucket 461
4 words in bucket 462
7 words in bucket 463
7 words in bucket 464
4 words in bucket 465
9 words in bucket 466
6 words in bucket 467
3 words in bucket 468
5 words in bucket 469
6 words in bucket 470
6 words in bucket 471
5 words in bucket 472
5 words in bucket 473
8 words in bucket 474
6 words in bucket 475
2 words in bucket 476
4 words in bucket 477
2 words in bucket 478
4 words in bucket 479
10 words in bucket 480
9 words in bucket 481
11 words in bucket 482
5 words in bucket 483
6 words in bucket 484
3 words in bucket 485
4 words in bucket 486
2 words in bucket 487
5 words in bucket 488
3 words in bucket 489
4 words in bucket 490
5 words in bucket 491
2 words in bucket 492
11 words in bucket 493
6 words in bucket 494
3 words in bucket 495
6 words in bucket 496
7 words in bucket 497
5 words in bucket 498
3 words in bucket 499
8 words in bucket 500
6 words in bucket 501
8 words in bucket 502
6 words in bucket 503
5 words in bucket 504
4 words in bucket 505
4 words in bucket 506
6 words in bucket 507
9 words in bucket 508
10 words in bucket 509
5 words in bucket 510
4 words in bucket 511
6 words in bucket 512
6 words in bucket 513
3 words in bucket 514
2 words in bucket 515
8 words in bucket 516
7 words in bucket 517
2 words in bucket 518
4 words in bucket 519
7 words in bucket 520
2 words in bucket 521
2 words in bucket 522
3 words in bucket 523
6 words in bucket 524
6 words in bucket 525
4 words in bucket 526
8 words in bucket 527
4 words in bucket 528
5 words in bucket 529
5 words in bucket 530
9 words in bucket 531
5 words in bucket 532
5 words in bucket 533
6 words in bucket 534
4 words in bucket 535
6 words in bucket 536
9 words in bucket 537
2 words in bucket 538
4 words in bucket 539
9 words in bucket 540
7 words in bucket 541
6 words in bucket 542
8 words in bucket 543
5 words in bucket 544
3 words in bucket 545
3 words in bucket 546
2 words in bucket 547
2 words in bucket 548
11 words in bucket 549
4 words in bucket 550
4 words in bucket 551
7 words in bucket 552
5 words in bucket 553
5 words in bucket 554
7 words in bucket 555
3 words in bucket 556
5 words in bucket 557
3 words in bucket 558
7 words in bucket 559
5 words in bucket 560
3 words in bucket 561
5 words in bucket 562
4 words in bucket 563
3 words in bucket 564
6 words in bucket 565
7 words in bucket 566
6 words in bucket 567
2 words in bucket 568
10 words in bucket 569
4 words in bucket 570
3 words in bucket 571
4 words in bucket 572
7 words in bucket 573
7 words in bucket 574
8 words in bucket 575
4 words in bucket 576
3 words in bucket 577
4 words in bucket 578
6 words in bucket 579
6 words in bucket 580
5 words in bucket 581
4 words in bucket 582
7 words in bucket 583
5 words in bucket 584
4 words in bucket 585
4 words in bucket 586
4 words in bucket 587
8 words in bucket 588
5 words in bucket 589
7 words in bucket 590
4 words in bucket 591
3 words in bucket 592
2 words in bucket 593
10 words in bucket 594
7 words in bucket 595
2 words in bucket 596
7 words in bucket 597
4 words in bucket 598
8 words in bucket 599
5 words in bucket 600
8 words in bucket 601
5 words in bucket 602
6 words in bucket 603
5 words in bucket 604
8 words in bucket 605
5 words in bucket 606
4 words in bucket 607
4 words in bucket 608
10 words in bucket 609
2 words in bucket 610
6 words in bucket 611
6 words in bucket 612
3 words in bucket 613
7 words in bucket 614
7 words in bucket 615
5 words in bucket 616
4 words in bucket 617
7 words in bucket 618
9 words in bucket 619
2 words in bucket 620
2 words in bucket 621
3 words in bucket 622
8 words in bucket 623
2 words in bucket 624
3 words in bucket 625
7 words in bucket 626
5 words in bucket 627
5 words in bucket 628
5 words in bucket 629
3 words in bucket 630
4 words in bucket 631
8 words in bucket 632
5 words in bucket 633
6 words in bucket 634
6 words in bucket 635
5 words in bucket 636
13 words in bucket 637
2 words in bucket 638
4 words in bucket 639
7 words in bucket 640
4 words in bucket 641
4 words in bucket 642
3 words in bucket 643
4 words in bucket 644
3 words in bucket 645
3 words in bucket 646
8 words in bucket 647
4 words in bucket 648
6 words in bucket 649
5 words in bucket 650
6 words in bucket 651
3 words in bucket 652
5 words in bucket 653
9 words in bucket 654
5 words in bucket 655
9 words in bucket 656
5 words in bucket 657
6 words in bucket 658
7 words in bucket 659
4 words in bucket 660
11 words in bucket 661
4 words in bucket 662
7 words in bucket 663
8 words in bucket 664
5 words in bucket 665
7 words in bucket 666
4 words in bucket 667
8 words in bucket 668
6 words in bucket 669
7 words in bucket 670
8 words in bucket 671
9 words in bucket 672
4 words in bucket 673
7 words in bucket 674
2 words in bucket 675
9 words in bucket 676
5 words in bucket 677
8 words in bucket 678
5 words in bucket 679
7 words in bucket 680
5 words in bucket 681
4 words in bucket 682
3 words in bucket 683
7 words in bucket 684
7 words in bucket 685
5 words in bucket 686
6 words in bucket 687
7 words in bucket 688
3 words in bucket 689
0 words in bucket 690
3 words in bucket 691
8 words in bucket 692
5 words in bucket 693
3 words in bucket 694
8 words in bucket 695
6 words in bucket 696
5 words in bucket 697
9 words in bucket 698
2 words in bucket 699
6 words in bucket 700
8 words in bucket 701
3 words in bucket 702
4 words in bucket 703
5 words in bucket 704
1 words in bucket 705
6 words in bucket 706
6 words in bucket 707
4 words in bucket 708
6 words in bucket 709
2 words in bucket 710
4 words in bucket 711
4 words in bucket 712
7 words in bucket 713
5 words in bucket 714
5 words in bucket 715
8 words in bucket 716
6 words in bucket 717
4 words in bucket 718
7 words in bucket 719
6 words in bucket 720
5 words in bucket 721
10 words in bucket 722
5 words in bucket 723
6 words in bucket 724
8 words in bucket 725
7 words in bucket 726
8 words in bucket 727
3 words in bucket 728
6 words in bucket 729
6 words in bucket 730
5 words in bucket 731
8 words in bucket 732
4 words in bucket 733
3 words in bucket 734
6 words in bucket 735
3 words in bucket 736
8 words in bucket 737
4 words in bucket 738
5 words in bucket 739
5 words in bucket 740
2 words in bucket 741
6 words in bucket 742
5 words in bucket 743
4 words in bucket 744
2 words in bucket 745
4 words in bucket 746
7 words in bucket 747
10 words in bucket 748
8 words in bucket 749
5 words in bucket 750
6 words in bucket 751
10 words in bucket 752
5 words in bucket 753
4 words in bucket 754
5 words in bucket 755
4 words in bucket 756
4 words in bucket 757
5 words in bucket 758
3 words in bucket 759
4 words in bucket 760
10 words in bucket 761
6 words in bucket 762
7 words in bucket 763
6 words in bucket 764
3 words in bucket 765
3 words in bucket 766
7 words in bucket 767
4 words in bucket 768
5 words in bucket 769
4 words in bucket 770
