/*
 hashOutputObj7.3.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 49957
*/
Script started on Tue 05 May 2020 09:41:59 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
0 words in bucket 0
1 words in bucket 1
0 words in bucket 2
0 words in bucket 3
0 words in bucket 4
4 words in bucket 5
0 words in bucket 6
0 words in bucket 7
2 words in bucket 8
2 words in bucket 9
0 words in bucket 10
1 words in bucket 11
2 words in bucket 12
1 words in bucket 13
2 words in bucket 14
0 words in bucket 15
2 words in bucket 16
1 words in bucket 17
4 words in bucket 18
1 words in bucket 19
1 words in bucket 20
1 words in bucket 21
2 words in bucket 22
0 words in bucket 23
0 words in bucket 24
0 words in bucket 25
0 words in bucket 26
1 words in bucket 27
1 words in bucket 28
0 words in bucket 29
1 words in bucket 30
2 words in bucket 31
2 words in bucket 32
0 words in bucket 33
0 words in bucket 34
0 words in bucket 35
1 words in bucket 36
0 words in bucket 37
1 words in bucket 38
0 words in bucket 39
0 words in bucket 40
1 words in bucket 41
1 words in bucket 42
0 words in bucket 43
3 words in bucket 44
3 words in bucket 45
1 words in bucket 46
1 words in bucket 47
1 words in bucket 48
1 words in bucket 49
3 words in bucket 50
0 words in bucket 51
1 words in bucket 52
1 words in bucket 53
2 words in bucket 54
0 words in bucket 55
2 words in bucket 56
0 words in bucket 57
2 words in bucket 58
3 words in bucket 59
0 words in bucket 60
1 words in bucket 61
1 words in bucket 62
0 words in bucket 63
2 words in bucket 64
2 words in bucket 65
0 words in bucket 66
2 words in bucket 67
1 words in bucket 68
1 words in bucket 69
1 words in bucket 70
3 words in bucket 71
4 words in bucket 72
3 words in bucket 73
1 words in bucket 74
2 words in bucket 75
3 words in bucket 76
1 words in bucket 77
0 words in bucket 78
2 words in bucket 79
1 words in bucket 80
1 words in bucket 81
1 words in bucket 82
0 words in bucket 83
1 words in bucket 84
1 words in bucket 85
2 words in bucket 86
2 words in bucket 87
0 words in bucket 88
0 words in bucket 89
2 words in bucket 90
2 words in bucket 91
0 words in bucket 92
0 words in bucket 93
1 words in bucket 94
0 words in bucket 95
3 words in bucket 96
3 words in bucket 97
1 words in bucket 98
1 words in bucket 99
1 words in bucket 100
0 words in bucket 101
0 words in bucket 102
0 words in bucket 103
0 words in bucket 104
1 words in bucket 105
1 words in bucket 106
2 words in bucket 107
2 words in bucket 108
2 words in bucket 109
0 words in bucket 110
2 words in bucket 111
3 words in bucket 112
0 words in bucket 113
0 words in bucket 114
2 words in bucket 115
1 words in bucket 116
1 words in bucket 117
1 words in bucket 118
3 words in bucket 119
3 words in bucket 120
1 words in bucket 121
0 words in bucket 122
1 words in bucket 123
4 words in bucket 124
1 words in bucket 125
1 words in bucket 126
1 words in bucket 127
0 words in bucket 128
3 words in bucket 129
1 words in bucket 130
0 words in bucket 131
0 words in bucket 132
2 words in bucket 133
0 words in bucket 134
0 words in bucket 135
0 words in bucket 136
0 words in bucket 137
0 words in bucket 138
0 words in bucket 139
2 words in bucket 140
1 words in bucket 141
1 words in bucket 142
2 words in bucket 143
1 words in bucket 144
0 words in bucket 145
0 words in bucket 146
0 words in bucket 147
0 words in bucket 148
2 words in bucket 149
1 words in bucket 150
0 words in bucket 151
2 words in bucket 152
3 words in bucket 153
2 words in bucket 154
1 words in bucket 155
0 words in bucket 156
0 words in bucket 157
2 words in bucket 158
0 words in bucket 159
0 words in bucket 160
1 words in bucket 161
2 words in bucket 162
0 words in bucket 163
0 words in bucket 164
0 words in bucket 165
0 words in bucket 166
0 words in bucket 167
1 words in bucket 168
3 words in bucket 169
0 words in bucket 170
0 words in bucket 171
0 words in bucket 172
1 words in bucket 173
2 words in bucket 174
1 words in bucket 175
0 words in bucket 176
0 words in bucket 177
0 words in bucket 178
3 words in bucket 179
2 words in bucket 180
1 words in bucket 181
1 words in bucket 182
1 words in bucket 183
1 words in bucket 184
3 words in bucket 185
4 words in bucket 186
1 words in bucket 187
0 words in bucket 188
2 words in bucket 189
1 words in bucket 190
0 words in bucket 191
1 words in bucket 192
1 words in bucket 193
2 words in bucket 194
0 words in bucket 195
1 words in bucket 196
2 words in bucket 197
0 words in bucket 198
0 words in bucket 199
4 words in bucket 200
0 words in bucket 201
0 words in bucket 202
1 words in bucket 203
1 words in bucket 204
1 words in bucket 205
1 words in bucket 206
2 words in bucket 207
0 words in bucket 208
0 words in bucket 209
0 words in bucket 210
1 words in bucket 211
0 words in bucket 212
0 words in bucket 213
3 words in bucket 214
2 words in bucket 215
1 words in bucket 216
1 words in bucket 217
2 words in bucket 218
3 words in bucket 219
0 words in bucket 220
3 words in bucket 221
1 words in bucket 222
1 words in bucket 223
0 words in bucket 224
1 words in bucket 225
2 words in bucket 226
1 words in bucket 227
1 words in bucket 228
1 words in bucket 229
2 words in bucket 230
0 words in bucket 231
0 words in bucket 232
2 words in bucket 233
1 words in bucket 234
1 words in bucket 235
1 words in bucket 236
0 words in bucket 237
0 words in bucket 238
0 words in bucket 239
3 words in bucket 240
2 words in bucket 241
3 words in bucket 242
0 words in bucket 243
1 words in bucket 244
1 words in bucket 245
3 words in bucket 246
1 words in bucket 247
1 words in bucket 248
1 words in bucket 249
2 words in bucket 250
1 words in bucket 251
3 words in bucket 252
0 words in bucket 253
1 words in bucket 254
0 words in bucket 255
2 words in bucket 256
1 words in bucket 257
1 words in bucket 258
2 words in bucket 259
2 words in bucket 260
0 words in bucket 261
1 words in bucket 262
2 words in bucket 263
1 words in bucket 264
0 words in bucket 265
4 words in bucket 266
1 words in bucket 267
