/*
 hashOutputObj7.1.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 8017
*/

Script started on Tue 05 May 2020 09:40:25 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
7 words in bucket 307
4 words in bucket 308
6 words in bucket 309
8 words in bucket 310
9 words in bucket 311
6 words in bucket 312
5 words in bucket 313
8 words in bucket 314
3 words in bucket 315
6 words in bucket 316
5 words in bucket 317
11 words in bucket 318
12 words in bucket 319
5 words in bucket 320
8 words in bucket 321
7 words in bucket 322
7 words in bucket 323
6 words in bucket 324
9 words in bucket 325
5 words in bucket 326
12 words in bucket 327
4 words in bucket 328
8 words in bucket 329
8 words in bucket 330
8 words in bucket 331
8 words in bucket 332
9 words in bucket 333
4 words in bucket 334
6 words in bucket 335
7 words in bucket 336
6 words in bucket 337
4 words in bucket 338
9 words in bucket 339
4 words in bucket 340
2 words in bucket 341
6 words in bucket 342
4 words in bucket 343
13 words in bucket 344
4 words in bucket 345
9 words in bucket 346
5 words in bucket 347
7 words in bucket 348
8 words in bucket 349
7 words in bucket 350
11 words in bucket 351
5 words in bucket 352
6 words in bucket 353
5 words in bucket 354
6 words in bucket 355
11 words in bucket 356
6 words in bucket 357
10 words in bucket 358
10 words in bucket 359
8 words in bucket 360
5 words in bucket 361
5 words in bucket 362
6 words in bucket 363
7 words in bucket 364
9 words in bucket 365
11 words in bucket 366
7 words in bucket 367
10 words in bucket 368
4 words in bucket 369
6 words in bucket 370
4 words in bucket 371
8 words in bucket 372
7 words in bucket 373
10 words in bucket 374
7 words in bucket 375
7 words in bucket 376
14 words in bucket 377
4 words in bucket 378
8 words in bucket 379
11 words in bucket 380
6 words in bucket 381
7 words in bucket 382
8 words in bucket 383
4 words in bucket 384
11 words in bucket 385
6 words in bucket 386
8 words in bucket 387
1 words in bucket 388
6 words in bucket 389
9 words in bucket 390
6 words in bucket 391
7 words in bucket 392
8 words in bucket 393
7 words in bucket 394
14 words in bucket 395
7 words in bucket 396
7 words in bucket 397
2 words in bucket 398
8 words in bucket 399
7 words in bucket 400
7 words in bucket 401
11 words in bucket 402
6 words in bucket 403
3 words in bucket 404
7 words in bucket 405
5 words in bucket 406
6 words in bucket 407
11 words in bucket 408
6 words in bucket 409
8 words in bucket 410
8 words in bucket 411
10 words in bucket 412
7 words in bucket 413
8 words in bucket 414
6 words in bucket 415
6 words in bucket 416
5 words in bucket 417
9 words in bucket 418
9 words in bucket 419
3 words in bucket 420
13 words in bucket 421
9 words in bucket 422
8 words in bucket 423
9 words in bucket 424
5 words in bucket 425
3 words in bucket 426
7 words in bucket 427
5 words in bucket 428
7 words in bucket 429
9 words in bucket 430
9 words in bucket 431
8 words in bucket 432
3 words in bucket 433
7 words in bucket 434
6 words in bucket 435
7 words in bucket 436
6 words in bucket 437
2 words in bucket 438
6 words in bucket 439
8 words in bucket 440
10 words in bucket 441
7 words in bucket 442
6 words in bucket 443
9 words in bucket 444
8 words in bucket 445
6 words in bucket 446
7 words in bucket 447
10 words in bucket 448
8 words in bucket 449
11 words in bucket 450
3 words in bucket 451
10 words in bucket 452
9 words in bucket 453
11 words in bucket 454
8 words in bucket 455
9 words in bucket 456
5 words in bucket 457
7 words in bucket 458
4 words in bucket 459
5 words in bucket 460
11 words in bucket 461
6 words in bucket 462
8 words in bucket 463
8 words in bucket 464
8 words in bucket 465
6 words in bucket 466
9 words in bucket 467
9 words in bucket 468
4 words in bucket 469
11 words in bucket 470
7 words in bucket 471
10 words in bucket 472
1 words in bucket 473
4 words in bucket 474
4 words in bucket 475
10 words in bucket 476
6 words in bucket 477
8 words in bucket 478
11 words in bucket 479
8 words in bucket 480
7 words in bucket 481
4 words in bucket 482
11 words in bucket 483
8 words in bucket 484
10 words in bucket 485
6 words in bucket 486
9 words in bucket 487
15 words in bucket 488
3 words in bucket 489
7 words in bucket 490
3 words in bucket 491
5 words in bucket 492
10 words in bucket 493
4 words in bucket 494
5 words in bucket 495
6 words in bucket 496
5 words in bucket 497
9 words in bucket 498
7 words in bucket 499
12 words in bucket 500
9 words in bucket 501
9 words in bucket 502
5 words in bucket 503
12 words in bucket 504
11 words in bucket 505
7 words in bucket 506
16 words in bucket 507
7 words in bucket 508
9 words in bucket 509
5 words in bucket 510
3 words in bucket 511
7 words in bucket 512
9 words in bucket 513
10 words in bucket 514
5 words in bucket 515
7 words in bucket 516
9 words in bucket 517
5 words in bucket 518
10 words in bucket 519
6 words in bucket 520
9 words in bucket 521
5 words in bucket 522
5 words in bucket 523
8 words in bucket 524
6 words in bucket 525
6 words in bucket 526
8 words in bucket 527
6 words in bucket 528
11 words in bucket 529
6 words in bucket 530
12 words in bucket 531
7 words in bucket 532
10 words in bucket 533
4 words in bucket 534
10 words in bucket 535
7 words in bucket 536
8 words in bucket 537
2 words in bucket 538
7 words in bucket 539
5 words in bucket 540
7 words in bucket 541
9 words in bucket 542
10 words in bucket 543
8 words in bucket 544
11 words in bucket 545
11 words in bucket 546
8 words in bucket 547
6 words in bucket 548
6 words in bucket 549
6 words in bucket 550
3 words in bucket 551
4 words in bucket 552
8 words in bucket 553
9 words in bucket 554
8 words in bucket 555
6 words in bucket 556
7 words in bucket 557
10 words in bucket 558
8 words in bucket 559
5 words in bucket 560
9 words in bucket 561
5 words in bucket 562
8 words in bucket 563
22 words in bucket 564
7 words in bucket 565
4 words in bucket 566
4 words in bucket 567
5 words in bucket 568
11 words in bucket 569
10 words in bucket 570
3 words in bucket 571
5 words in bucket 572
11 words in bucket 573
7 words in bucket 574
6 words in bucket 575
7 words in bucket 576
8 words in bucket 577
7 words in bucket 578
8 words in bucket 579
10 words in bucket 580
11 words in bucket 581
7 words in bucket 582
6 words in bucket 583
5 words in bucket 584
7 words in bucket 585
7 words in bucket 586
6 words in bucket 587
19 words in bucket 588
6 words in bucket 589
8 words in bucket 590
6 words in bucket 591
5 words in bucket 592
9 words in bucket 593
7 words in bucket 594
7 words in bucket 595
3 words in bucket 596
12 words in bucket 597
7 words in bucket 598
11 words in bucket 599
8 words in bucket 600
3 words in bucket 601
9 words in bucket 602
9 words in bucket 603
10 words in bucket 604
6 words in bucket 605
8 words in bucket 606
11 words in bucket 607
12 words in bucket 608
3 words in bucket 609
8 words in bucket 610
3 words in bucket 611
10 words in bucket 612
7 words in bucket 613
7 words in bucket 614
6 words in bucket 615
7 words in bucket 616
10 words in bucket 617
7 words in bucket 618
7 words in bucket 619
8 words in bucket 620
3 words in bucket 621
8 words in bucket 622
8 words in bucket 623
4 words in bucket 624
8 words in bucket 625
4 words in bucket 626
6 words in bucket 627
4 words in bucket 628
6 words in bucket 629
9 words in bucket 630
7 words in bucket 631
10 words in bucket 632
8 words in bucket 633
7 words in bucket 634
3 words in bucket 635
5 words in bucket 636
5 words in bucket 637
7 words in bucket 638
2 words in bucket 639
8 words in bucket 640
1 words in bucket 641
7 words in bucket 642
7 words in bucket 643
6 words in bucket 644
8 words in bucket 645
5 words in bucket 646
8 words in bucket 647
12 words in bucket 648
6 words in bucket 649
10 words in bucket 650
